"site","can","imp"
"JACKALADC1",20.6663401361337,29.1942146554227
"JACOAMYMD1",25.3995219389329,1.27472046198145
"JACOMERMD1",18.716934320332,35.1344684036962
"JACOSYDMD1",38.3661890353406,20.0002002094789
"JAKOELVVA1",48.0098036459873,9.85870458547221
"JEWELIBMD1",54.1820307945593,12.2370828570481
"KAMILEIVA1",35.6203442757769,24.0160074960173
"KESTSABDC1",17.8135861220836,46.0176900364886
"KEYESUSMD1",64.0129403570069,1.34874072539989
"KINDFAPMD1",53.5251579953595,0.283893309593568
"KNIGSALVA1",93.9960953671273,0
"KORRHARMD1",41.8075549567263,9.7539516213189
"KRAMPAUMD1",50.2201707946168,6.07900495006119
"LAFMELVA1",24.2815322743569,29.1249406807204
"LANDCELVA1",38.4434576872335,16.061486639651
"LANGANKVA1",84.5648581805378,3.10054809717795
"LEONTESDC1",9.40042203076871,58.5526779524979
"LIEBJUDMD1",47.9418000547356,14.3142166373378
"LINDHANMD1",67.7486249575695,2.31563537657972
"LORAJORMD1",69.6125541320841,3.78269749348421
"LUCAJILMD1",48.4328892235724,10.585289185081
"LUCIDANMD1",30.3417554094092,3.83180274930107
"LYONLYNVA1",22.1901120540057,25.5822986382114
"MAHOJIMMD1",65.761258902936,0
"MANNJANDC1",60.192104681787,6.8941124747823
"MARRPETMD2",46.6430311615229,21.4484899175554
"MAZUJENMD1",87.8705911319735,0.9468983908178
"MCCAKEVMD1",35.1236732231119,13.5658958931402
"MCCOCHRMD1",2.38380955321879,0
"MCCOJOHMD1",14.5472954160757,0.804308295709298
"MCDOELIVA1",18.5471335421489,33.9800956842428
"MCKEANNVA1",86.6468117104918,0.00235490414389815
"MCKEJANMD1",48.2940220670156,0
"MCNAKRIMD1",46.6844667845737,12.2454685578889
"MEGOPATMD2",93.0039021122615,0
"MILLJOEMD1",46.301451529097,14.7561888147702
"MILLLORVA1",42.1529708312542,0
"MILLPAUMD1",21.241032756731,17.8581851747801
"MISSEDDC1",2.36026525262923,61.4285615463951
"MOLIKARMD1",8.52701159927093,36.946754126322
"MORAANGMD1",32.8050764957936,5.73647618439053
"MORRCHRVA1",40.522447116406,0.253957471576731
"MORRJESMD1",55.3358748356283,9.40103654301374
"MOSMCARMD1",28.2688161544201,8.64955910141635
"MULLJOYVA1",63.191746767203,3.47108462071363e-07
"MUTRCYNMD2",25.4412657896402,20.4303879536774
"MYERBRUMD1",55.1980644863444,8.72550065186782
"NAYLMICMD2",32.5087836779541,1.65583440816265
"NE1",0.713584126189722,54.9772308259222
"NE2",0,79.3374444214503
"NE3",0.0253207159677714,70.034978205799
"NE4",0.0538715141511399,73.5154338696606
"NE5",11.0296093509251,49.181145045359
"NE6",14.1885519452247,43.3516232339511
"NE7",2.18939262045111,33.1361001573149
"NEWBCARVA1",92.137924295181,0.000842028114563044
"NICHALIMD1",66.4371636197148,2.78362918924743
"NW1",0.0121408015516819,77.881490126167
"NW2",0,83.2070872611896
"NW3",0.0723129270145427,76.7061011392394
"NW4",2.07799233919421,57.0421745291266
"OBRICHRMD1",29.3805738539419,26.4556377409966
"ODELVINMD2",90.0231610342792,0.704427584549673
"OLONMARDC1",26.3274407287196,29.9587602363013
"OMLAKEVMD1",45.1568537224137,0
"ONTAHOUDC1",3.20324375231065,57.9162503244224
"OWENDORVA1",32.1710631007291,17.6483857253289
"OWENJOHMD1",11.5890976781003,18.685073750931
"PADORAMVA1",47.6066429221473,15.1151532597811
"PATSNADMD1",13.5914135701993,33.8085884394604
"PATTDAVMD1",0.190508435809811,3.95890876387435
"PERNMIKMD1",84.4128865571557,0
"PERRCHRMD1",98.6143500176181,0
"PHARAIMMD1",83.8574646697905,0.654714774093573
"PHELCLADC1",26.1342667800349,25.4854467090756
"PICKMARMD1",81.7155436270188,0
"PIROELADC1",14.996159884964,47.6381716901482
"RAUNERIMD1",24.5963751404531,26.7370503028906
"RCP_EDZDC1",17.7228726619434,25.5722418717301
"RCP_SMBDC1",55.9829122731906,8.72416008695793
"REIKROBMD1",47.3834635546975,0
"REITBOBMD1",26.15622597822,20.0585317755113
"REUTSHAMD1",0,76.3168554710778
"ROHRSALMD1",61.1622477789869,0.463756778676398
"ROTHPAUVA1",34.9255385828201,12.1766957437845
"RUSSJODMD1",36.0414869692807,7.12177304476099
"SALAJENMD1",35.0728456984299,19.2699716824606
"SALOSHEMD1",44.6269307157517,19.8252597931136
"SANFCARMD1",65.1623136870756,4.11473269416871
"SARGMARMD1",48.7811674490404,14.4550467075925
"SCHILYDMD1",83.8097509415632,0.63870049073419
"SCHIMARMD1",87.0221581324184,1.90399647376803
"SCHLROBMD1",60.1173348475227,0
"SHAYSARMD1",28.2886438563451,22.3909577298563
"SHEEM.AMD1",30.6484551775765,35.0497863592282
"SILLSCOMD1",18.8333305572287,36.373801322821
"SINGDADMD1",4.31036407443699,0.460874870551309
"SOLIAPRMD1",15.7453168045069,0.108315701663653
"SOLLCHRMD1",71.3555034057527,4.54059474575459
"SPEYPAUMD1",47.9742544497897,4.22288335743531
"STANJEFMD1",63.1780093227807,3.96308894838785
"STEWBETMD1",43.1376745522277,10.6549441686181
"STORPATMD1",66.9978373727588,3.59285231103204
"STUECHRVA1",30.8725566005548,19.2618880900745
"STUECHRVA2",34.6713383986233,20.9581020353345
"STURCARMD1",52.3390744643443,34.1965658704423
"SUBRSTEMD1",75.0371950296145,3.3869909946383
"SULLPAUVA1",23.4398787350879,30.3315456253409
"TATEJUAMD1",41.2818690175871,15.2606922175467
"TAYLELEVA1",48.6147750038261,8.6956872817208
"THOMMARDC1",23.9765658419373,26.2552589977849
"THOMSUSMD1",97.1218484358645,0
"TINIKATMD1",47.3075020989095,3.89588360942009
"TRAUPATVA1",89.3239356928208,0.601391170322832
"UNGELAUDC1",0.479738939975786,58.6735064864604
"URBABETMD1",37.1980734833122,11.222089306882
"VERSBETMD1",7.63172530009209,2.33979814905354
"VONGJENMD1",39.7429573893752,17.4685713313342
"VOSSCOLVA1",61.9646733346317,9.79075750757293
"WALKPATVA1",26.4349455382712,25.7648818665464
"WAPLMILVA1",12.5665147048134,13.269016104775
"WARDDOUVA1",15.6454330040539,39.2021913676689
"WATSPATDC1",37.8348553971833,12.4308340400957
"WHITLAUDC1",76.1225582914929,2.07118672709052
"WIEBFRAMD1",63.7272588946663,9.03174677195734
"WIKACORMD1",80.3201085789028,2.10818154218791
"WILDANNVA1",23.6771432265661,20.0306159294565
"WILELINMD1",21.943100887275,7.75647286154947
"WILLCYNVA1",16.4889781290041,36.5838763024439
"WILLRAJMD1",11.5963997563171,18.1575429082801
"WILLTERMD1",27.7630527460388,36.4829023090782
"WILLTINVA1",89.3935855310078,1.37207037037167
"WISECELMD1",26.6001238214578,17.1800393880454
"WOLFAMYDC1",0,81.0325006004975
"WOLFKARDC1",5.22193193292556,48.6306426154957
"WOODELEVA1",29.6636857336009,27.4369962973832
"WOODPAUVA1",67.9268880768302,3.12875898846346
"WRIGVENMD1",84.5434181235205,0.246471524044488
"YOUNELIMD1",16.5927331916415,23.6097704610468
"YOUNKIMVA1",60.7093655068361,16.449154228004
"ZAMBTRAMD1",38.9206214003885,17.4256858728636
