"site","year","day","observer","temp","sky"
"MCNAKRIMD1","2010",173,"ckw",71,"0"
"MCNAKRIMD1","2012",167,"amc",69,"0"
"MEGOPATMD2","2009",161,"jld",68,"0"
"MEGOPATMD2","2010",197,"jlw",74,"1"
"MEGOPATMD2","2012",203,"amc",73,"3"
"MILLJOEMD1","2010",154,"ckw",75,"1"
"MILLJOEMD1","2009",172,"lap",68,"2"
"MILLJOEMD1","2012",165,"amc",70,"3"
"MILLLORVA1","2009",199,"ajr",64,"1"
"MILLLORVA1","2010",179,"jlw",78,"1"
"MILLLORVA1","2012",189,"jag",75,"1"
"MILLPAUMD1","2009",181,"ned",69,"0"
"MISSEDDC1","2010",158,"bse",63,"0"
"MISSEDDC1","2009",176,"jld",75,"1"
"MISSEDDC1","2012",193,"jag",75,"1"
"MOLIKARMD1","2009",198,"jld",76,"1"
"MOLIKARMD1","2012",167,"kam",70,"1"
"MOLIKARMD1","2010",185,"jsm",65,"0"
"MORAANGMD1","2009",155,"lap",59,"3"
"MORRCHRVA1","2009",187,"jld",64,"0"
"MORRCHRVA1","2012",182,"kam",75,"0"
"MORRCHRVA1","2010",182,"jlw",64,"1"
"MORRJESMD1","2009",144,"jld",69,"0"
"MORRJESMD1","2010",158,"jsm",79,"1"
"MOSMCARMD1","2010",206,"jsm",84,"0"
"MOSMCARMD1","2012",171,"amc",62,"3"
"MULLJOYVA1","2010",160,"jlw",61,"4"
"MULLJOYVA1","2009",193,"jld",68,"1"
"MULLJOYVA1","2012",168,"kam",60,"0"
"MUTRCYNMD2","2010",173,"ckw",72,"1"
"MUTRCYNMD2","2009",161,"ajr",64,"0"
"MYERBRUMD1","2012",133,"multiple",55,"0"
"MYERBRUMD1","2009",198,"ajr",73,"0"
"MYERBRUMD1","2010",170,"jsm",63,"0"
"NAYLMICMD2","2009",193,"ajr",80,"3"
"NAYLMICMD2","2012",174,"amc",78,"0"
"NAYLMICMD2","2010",176,"ckw",77,"0"
"NE1","2010",184,"bse",66,"0"
"NE3","2010",184,"bse",69,"0"
"NE4","2010",184,"bse",69,"0"
"NE5","2010",184,"bse",71,"0"
"NE6","2010",184,"bse",70,"0"
"NE7","2010",184,"bse",68,"0"
"NEWBCARVA1","2009",143,"jld",57,"0"
"NEWBCARVA1","2012",141,"multiple",50,"0"
"NEWBCARVA1","2010",170,"jlw",68,"2"
"NICHALIMD1","2009",179,"lap",71,"0"
"NW1","2010",181,"bse",77,"0"
"NW2","2010",181,"bse",74,"0"
"NW3","2010",181,"bse",77,"0"
"NW4","2010",181,"bse",77,"0"
